,origins,destinations,flows
0,0,0,259
1,0,1,27
2,0,2,2
3,0,3,10
4,0,11,1
5,0,14,9
6,0,16,4
7,0,17,11
8,0,19,7
9,0,20,23
10,0,21,1
11,0,22,8
12,0,26,1
13,0,31,2
14,0,32,1
15,0,57,1
16,0,58,1
17,0,109,1
18,0,155,1
19,0,301,1
20,0,305,1
21,0,313,1
22,0,316,1
23,0,357,1
24,0,364,1
25,0,367,1
26,0,383,1
27,0,392,1
28,0,416,12
29,0,422,4
30,0,435,6
31,0,436,4
32,0,440,1
33,0,442,3
34,0,443,8
35,0,446,3
36,0,456,1
37,0,458,1
38,0,460,2
39,0,462,2
40,0,463,2
41,0,464,1
42,0,476,5
43,0,477,1
44,0,479,3
45,0,482,1
46,0,495,1
47,0,500,3
48,0,515,1
49,0,518,1
50,0,519,1
51,0,520,2
52,0,537,1
53,0,538,1
54,0,541,1
55,0,542,1
56,0,545,2
57,0,547,3
58,0,554,1
59,0,556,1
60,0,581,1
61,0,582,1
62,0,587,1
63,0,597,1
64,0,613,1
65,0,634,1
66,0,656,1
67,0,671,1
68,0,673,2
69,0,688,1
70,0,691,3
71,0,711,1
72,0,737,1
73,0,738,2
74,0,739,1
75,0,747,1
76,0,770,1
77,0,862,1
78,0,876,1
79,0,878,1
80,0,952,2
81,0,966,3
82,0,1002,1
83,0,1015,1
84,0,1020,1
85,0,1032,1
86,0,1101,1
87,0,1105,1
88,0,1121,1
89,0,1313,2
90,0,1321,4
91,0,1356,1
92,0,1436,1
93,0,1453,3
94,0,1454,3
95,0,1460,1
96,1,0,33
97,1,1,175
98,1,2,10
99,1,3,21
100,1,4,7
101,1,5,1
102,1,7,1
103,1,11,6
104,1,12,2
105,1,14,16
106,1,15,3
107,1,16,21
108,1,17,15
109,1,19,33
110,1,20,55
111,1,21,3
112,1,22,17
113,1,23,12
114,1,26,3
115,1,30,2
116,1,31,2
117,1,32,6
118,1,49,1
119,1,55,1
120,1,56,1
121,1,57,1
122,1,108,1
123,1,148,1
124,1,155,3
125,1,173,1
126,1,174,1
127,1,176,1
128,1,178,1
129,1,179,1
130,1,193,1
131,1,196,1
132,1,203,1
133,1,264,1
134,1,270,1
135,1,276,1
136,1,292,1
137,1,294,3
138,1,295,1
139,1,301,1
140,1,316,4
141,1,318,11
142,1,319,2
143,1,333,1
144,1,340,1
145,1,352,3
146,1,367,1
147,1,378,1
148,1,383,1
149,1,392,2
150,1,409,1
151,1,416,89
152,1,421,1
153,1,422,17
154,1,435,17
155,1,436,18
156,1,437,1
157,1,438,1
158,1,443,28
159,1,450,2
160,1,456,3
161,1,458,1
162,1,460,2
163,1,461,1
164,1,462,3
165,1,463,10
166,1,464,3
167,1,476,7
168,1,477,3
169,1,479,4
170,1,481,6
171,1,482,3
172,1,496,1
173,1,497,1
174,1,499,3
175,1,500,6
176,1,518,2
177,1,519,11
178,1,520,5
179,1,521,1
180,1,531,1
181,1,536,1
182,1,537,5
183,1,538,6
184,1,539,2
185,1,540,10
186,1,541,5
187,1,545,3
188,1,546,3
189,1,547,2
190,1,554,3
191,1,555,2
192,1,558,1
